id,record_sha256,part,qualifies_80,full_detail,returns_percent,sources
V16-0d171067bd414e43,86ef8a2e0289c52b2f4389b6b2aa6d0657ecc433c0b7bf4e6faee9a08e4f4207,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":25.99034416,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":25.99034416}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0d1c052ffa4cbda4,5f227eb9373cda42180c58c3ac1150cbf113bddd2abe9eff614f580bea50ba3d,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":96.8399125,""regimes.BULL"":59.27016189,""regimes.SIDEWAYS"":59.61023075,""worst_net"":59.27016189}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d288dbf90ab8c2b,470e3790ba6e97fde7585458cc6c00330907b12da580a2edc59fc9c0aff49324,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":94.23175446,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":88.4140623}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d2b493e03d95cc9,32f90cefd403be23ab2778c603cf62f630c8d7482347e48ca895378980d706f7,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":20.69136012,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":20.69136012}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0d2b493e03d95cc9,fe77aa9185be71186d35229a7574bdf9f3da445e6e5a948697459824bc5410a7,records/part-0011.jsonl.gz,0,False,"{""worst_net"":20.69136012}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d303636eaccdd2b,39273dd638ba6a9ae5df2f10928ad6edf4c25ecac1996b7d7be0f56633971923,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":20.69136012,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":20.69136012}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0d303636eaccdd2b,ad9839a7d3f7a23012e65a3465dae5b0e6f4e3669ab4248e51b658524b78837f,records/part-0011.jsonl.gz,0,False,"{""worst_net"":20.69136012}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d30effe4e7b653c,12e84b5b381f71bb373298893a2791f2772bc6746af88c96fa36e048cdf55d9d,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":20.69136012,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":20.69136012}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0d30effe4e7b653c,d6224b80bc192f998556110a469dba93edb1a165e2d78e79b6b0ec8a5822ee8b,records/part-0011.jsonl.gz,0,False,"{""worst_net"":20.69136012}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d4fa599b7144278,4582ebdb5a8ffb4f65d7b4dc7376917bacd211a05bb231ac2bcd18b65ef880c1,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":25.99034416,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":25.99034416}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
